iat,len,diffLen,class
130289000,60,65531,1
121000,52,65527,1
99000,124,65607,1
133102000,52,65463,1
97000,86,65569,1
532761000,86,65535,1
857339000,86,65535,1
1511963000,86,65535,1
2819973000,86,65535,1
5447200000,86,65535,1
2025951000,52,65501,1
5509622000,86,65569,1
128673000,93,65542,1
91000,40,65482,1
692000,526,64569,2
248679000,52,65061,2
4668000,52,65535,2
555286000,926,66409,2
267741000,52,64661,2
585000,89,65572,2
43519000,52,65498,2
142933000,926,66409,2
115957000,249,64858,2
59310000,52,65338,2
131229000,52,65535,2
63515000,142,65625,2
52341000,286,65679,2
1367000,52,65301,2
202792000,52,65535,2
51135000,142,65625,2
240294000,52,65445,2
100875888000,126,65609,2
237960000,52,65461,2
21894188000,142,65625,2
260979000,52,65445,2
281831000,52,65523,2
1332000,40,65523,2
8705000,230,65725,2
284336000,1480,66785,2
1121000,1480,65535,2
35000,571,64626,2
542000,40,65004,2
828000,40,65535,2
475000,40,65535,2
587000,40,65535,2
39758000,307,65802,2
240000,46,65274,2
307000,77,65566,2
283644000,40,65498,2
1436000,40,65535,2
373000,40,65535,2
2981000,83,65578,2
1508000,40,65492,2
5828000,1480,66975,2
471000,1480,65535,2
9000,153,64208,2
309715000,40,65422,2
1875000,40,65535,2
68938000,1480,66975,2
587000,1196,65251,2
1525000,40,64379,2
405162000,1480,66975,2
707000,1480,65535,2
17000,153,64208,2
305055000,40,65422,2
1952000,40,65535,2
74593000,1480,66975,2
624000,1196,65251,2
1467000,40,64379,2
30435067000,40,65535,2
274969000,40,65535,2
45693000,40,65535,2
6506000,40,65515,3
228000,40,65535,3
160000,235,65730,3
204000,40,65340,3
505708000,2760,68255,3
51415000,40,62815,3
6437000,1259,66754,3
53710000,40,64316,3
905000,350,65845,3
1010000,40,65225,3
257454000,83,65578,3
50847000,40,65492,3
10052000,576,66071,3
533000,40,64999,3
312000,124,65619,3
418000,40,65451,3
299224000,1400,66895,3
51610000,40,64175,3
4344000,809,66304,3
51815000,40,64766,3
800000,576,66071,3
261000,40,64999,3
137000,314,65809,3
2698000,40,65261,3
268644000,1400,66895,3
50956000,40,64175,3
1303000,748,66243,3
50627000,40,64827,3
18450000,576,66071,3
390000,40,64999,3
156000,504,65999,3
186000,40,65071,3
243450000,1400,66895,3
50358000,40,64175,3
47616000,2119,67614,3
51617000,40,63456,3
9616000,576,66071,3
218000,40,64999,3
117000,560,66055,3
157000,40,65015,3
218875000,1400,66895,3
50299000,40,64175,3
528000,1924,67419,3
51770000,40,63651,3
21181000,576,66071,3
251000,40,64999,3
143000,119,65614,3
199000,40,65456,3
224517000,1400,66895,3
50967000,40,64175,3
350000,1915,67410,3
50232000,40,63660,3
183000,576,66071,3
177000,40,64999,3
100000,576,66071,3
134000,40,64999,3
97000,312,65807,3
168000,40,65263,3
277789000,1400,66895,3
50630000,40,64175,3
2781000,4804,70299,3
51423000,40,60771,3
4213000,576,66071,3
455000,40,64999,3
141000,507,66002,3
407000,40,65068,3
222595000,1400,66895,3
50818000,40,64175,3
1363000,5203,70698,3
50645000,40,60372,3
905000,576,66071,3
171000,40,64999,3
244000,459,65954,3
177000,40,65116,3
282838000,3730,69225,3
