iat,len,diffLen,class
8256000,52,65535,0
23000,40,65523,0
44000,366,65861,0
597000,40,65209,0
13421000,57,65552,0
1000,152,65630,0
20000,40,65423,0
499000,40,65535,0
316000,40,65535,0
2007918000,52,65547,0
439000,52,65535,0
14000,40,65523,0
58000,366,65861,0
281000,40,65209,0
9517000,57,65552,0
24000,152,65630,0
11000,40,65423,0
492000,40,65535,0
299000,40,65535,0
2004566000,52,65547,0
603000,52,65535,0
33000,40,65523,0
93000,366,65861,0
549000,40,65209,0
9527000,57,65552,0
1000,152,65630,0
19000,40,65423,0
539000,40,65535,0
316000,40,65535,0
2003792000,52,65547,0
554000,52,65535,0
36000,40,65523,0
97000,366,65861,0
493000,40,65209,0
9453000,57,65552,0
1000,152,65630,0
31000,40,65423,0
473000,40,65535,0
325000,40,65535,0
2004347000,52,65547,0
583000,52,65535,0
24000,40,65523,0
47000,366,65861,0
427000,40,65209,0
9688000,57,65552,0
0,152,65630,0
21000,40,65423,0
536000,40,65535,0
311000,40,65535,0
2003794000,52,65547,0
483000,52,65535,0
20000,40,65523,0
48000,366,65861,0
246000,40,65209,0
9404000,57,65552,0
27000,152,65630,0
11000,40,65423,0
470000,40,65535,0
237000,40,65535,0
2004594000,52,65547,0
540000,52,65535,0
22000,40,65523,0
62000,366,65861,0
374000,40,65209,0
9830000,57,65552,0
1000,152,65630,0
20000,40,65423,0
475000,40,65535,0
399000,40,65535,0
2003792000,52,65547,0
571000,52,65535,0
21000,40,65523,0
51000,366,65861,0
358000,40,65209,0
23002000,57,65552,0
1000,152,65630,0
18000,40,65423,0
524000,40,65535,0
344000,40,65535,0
2006384000,52,65547,0
555000,52,65535,0
34000,40,65523,0
67000,366,65861,0
320000,40,65209,0
11320000,57,65552,0
25000,152,65630,0
12000,40,65423,0
546000,40,65535,0
393000,40,65535,0
2002271000,52,65547,0
558000,52,65535,0
23000,40,65523,0
50000,366,65861,0
306000,40,65209,0
10226000,57,65552,0
1000,152,65630,0
19000,40,65423,0
498000,40,65535,0
316000,40,65535,0
2003494000,52,65547,0
458000,52,65535,0
18000,40,65523,0
50000,366,65861,0
382000,40,65209,0
9255000,57,65552,0
63000,152,65630,0
12000,40,65423,0
478000,40,65535,0
420000,40,65535,0
2004398000,52,65547,0
584000,52,65535,0
19000,40,65523,0
60000,366,65861,0
372000,40,65209,0
9676000,57,65552,0
93000,152,65630,0
21000,40,65423,0
606000,40,65535,0
359000,40,65535,0
2003966000,52,65547,0
535000,52,65535,0
35000,40,65523,0
117000,366,65861,0
274000,40,65209,0
9763000,57,65552,0
1000,152,65630,0
31000,40,65423,0
572000,40,65535,0
318000,40,65535,0
2004083000,52,65547,0
514000,52,65535,0
30000,40,65523,0
70000,366,65861,0
326000,40,65209,0
10092000,57,65552,0
2000,152,65630,0
30000,40,65423,0
673000,40,65535,0
330000,40,65535,0
2003191000,52,65547,0
511000,52,65535,0
21000,40,65523,0
50000,366,65861,0
384000,40,65209,0
9857000,57,65552,0
13000,152,65630,0
9000,40,65423,0
492000,40,65535,0
325000,40,65535,0
2003946000,52,65547,0
607000,52,65535,0
45000,40,65523,0
60000,366,65861,0
366000,40,65209,0
10135000,57,65552,0
0,152,65630,0
18000,40,65423,0
537000,40,65535,0
381000,40,65535,0
2003444000,52,65547,0
472000,52,65535,0
20000,40,65523,0
61000,366,65861,0
298000,40,65209,0
9593000,57,65552,0
0,152,65630,0
18000,40,65423,0
481000,40,65535,0
365000,40,65535,0
2004182000,52,65547,0
497000,52,65535,0
20000,40,65523,0
59000,366,65861,0
374000,40,65209,0
9789000,57,65552,0
24000,152,65630,0
12000,40,65423,0
507000,40,65535,0
332000,40,65535,0
2004077000,52,65547,0
518000,52,65535,0
33000,40,65523,0
61000,366,65861,0
481000,40,65209,0
9333000,57,65552,0
1000,152,65630,0
19000,40,65423,0
493000,40,65535,0
362000,40,65535,0
2004226000,52,65547,0
561000,52,65535,0
20000,40,65523,0
49000,366,65861,0
316000,40,65209,0
9894000,57,65552,0
1000,152,65630,0
18000,40,65423,0
496000,40,65535,0
311000,40,65535,0
2003996000,52,65547,0
503000,52,65535,0
21000,40,65523,0
51000,366,65861,0
283000,40,65209,0
9902000,57,65552,0
14000,152,65630,0
9000,40,65423,0
494000,40,65535,0
260000,40,65535,0
2004203000,52,65547,0
542000,52,65535,0
20000,40,65523,0
53000,366,65861,0
255000,40,65209,0
9865000,57,65552,0
25000,152,65630,0
17000,40,65423,0
610000,40,65535,0
361000,40,65535,0
2003574000,52,65547,0
401000,52,65535,0
18000,40,65523,0
63000,366,65861,0
513000,40,65209,0
9355000,57,65552,0
1000,152,65630,0
33000,40,65423,0
635000,40,65535,0
283000,40,65535,0
2004414000,52,65547,0
574000,52,65535,0
19000,40,65523,0
60000,366,65861,0
361000,40,65209,0
9716000,57,65552,0
1000,152,65630,0
16000,40,65423,0
505000,40,65535,0
361000,40,65535,0
2003823000,52,65547,0
546000,52,65535,0
65000,40,65523,0
55000,366,65861,0
601000,40,65209,0
9697000,57,65552,0
1000,152,65630,0
18000,40,65423,0
466000,40,65535,0
298000,40,65535,0
2003889000,52,65547,0
529000,52,65535,0
19000,40,65523,0
63000,366,65861,0
329000,40,65209,0
9886000,57,65552,0
29000,152,65630,0
18000,40,65423,0
599000,40,65535,0
306000,40,65535,0
2003661000,52,65547,0
495000,52,65535,0
32000,40,65523,0
96000,366,65861,0
347000,40,65209,0
9736000,57,65552,0
1000,152,65630,0
19000,40,65423,0
530000,40,65535,0
290000,40,65535,0
2004099000,52,65547,0
437000,52,65535,0
20000,40,65523,0
51000,366,65861,0
309000,40,65209,0
10140000,57,65552,0
59000,152,65630,0
12000,40,65423,0
450000,40,65535,0
294000,40,65535,0
2003931000,52,65547,0
608000,52,65535,0
18000,40,65523,0
51000,366,65861,0
292000,40,65209,0
10378000,57,65552,0
1000,152,65630,0
19000,40,65423,0
515000,40,65535,0
243000,40,65535,0
2003986000,52,65547,0
545000,52,65535,0
22000,40,65523,0
51000,366,65861,0
304000,40,65209,0
