index, start time, end time, latency (microsecond)
0, 1714495461.436769, 1714495461.469939, 33170
1, 1714495461.481474, 1714495461.498704, 17230
2, 1714495461.509410, 1714495461.526716, 17306
3, 1714495461.537359, 1714495461.549171, 11812
4, 1714495461.560275, 1714495461.574974, 14699
5, 1714495461.587095, 1714495461.602960, 15865
6, 1714495461.615480, 1714495461.633029, 17549
7, 1714495461.644080, 1714495461.659433, 15353
8, 1714495461.671309, 1714495461.687666, 16357
9, 1714495461.699083, 1714495461.719492, 20409
10, 1714495461.731724, 1714495461.748667, 16943
11, 1714495461.759731, 1714495461.774888, 15157
12, 1714495461.787096, 1714495461.799245, 12149
13, 1714495461.810257, 1714495461.825855, 15598
14, 1714495461.836362, 1714495461.853741, 17379
15, 1714495461.865407, 1714495461.877455, 12048
16, 1714495461.889445, 1714495461.904944, 15499
17, 1714495461.917493, 1714495461.934102, 16609
18, 1714495461.945264, 1714495461.959713, 14449
19, 1714495461.971090, 1714495461.987795, 16705
20, 1714495461.998387, 1714495462.12909, 14522
21, 1714495462.23987, 1714495462.40092, 16105
22, 1714495462.51973, 1714495462.66753, 14780
23, 1714495462.77998, 1714495462.94129, 16131
24, 1714495462.105412, 1714495462.121683, 16271
25, 1714495462.132816, 1714495462.147854, 15038
26, 1714495462.159226, 1714495462.174810, 15584
27, 1714495462.186336, 1714495462.202050, 15714
28, 1714495462.213221, 1714495462.228996, 15775
29, 1714495462.239639, 1714495462.255593, 15954
30, 1714495462.266745, 1714495462.281131, 14386
31, 1714495462.292243, 1714495462.307851, 15608
32, 1714495462.319051, 1714495462.336435, 17384
33, 1714495462.347537, 1714495462.363952, 16415
34, 1714495462.374710, 1714495462.388908, 14198
35, 1714495462.400262, 1714495462.415639, 15377
36, 1714495462.426203, 1714495462.442049, 15846
37, 1714495462.452837, 1714495462.466805, 13968
38, 1714495462.477205, 1714495462.493088, 15883
39, 1714495462.505661, 1714495462.523228, 17567
40, 1714495462.535557, 1714495462.551235, 15678
41, 1714495462.563120, 1714495462.579947, 16827
42, 1714495462.592161, 1714495462.608390, 16229
43, 1714495462.619078, 1714495462.635676, 16598
44, 1714495462.646691, 1714495462.661461, 14770
45, 1714495462.672374, 1714495462.690157, 17783
46, 1714495462.701957, 1714495462.716832, 14875
47, 1714495462.727219, 1714495462.740158, 12939
48, 1714495462.752895, 1714495462.770018, 17123
49, 1714495462.781929, 1714495462.795644, 13715
50, 1714495462.807014, 1714495462.823702, 16688
51, 1714495462.834326, 1714495462.849016, 14690
52, 1714495462.861963, 1714495462.877071, 15108
53, 1714495462.889189, 1714495462.905561, 16372
54, 1714495462.916680, 1714495462.932568, 15888
55, 1714495462.944755, 1714495462.962302, 17547
56, 1714495462.973426, 1714495462.992937, 19511
57, 1714495463.3840, 1714495463.20720, 16880
58, 1714495463.31066, 1714495463.44105, 13039
59, 1714495463.55683, 1714495463.70936, 15253
60, 1714495463.83386, 1714495463.100089, 16703
61, 1714495463.112197, 1714495463.127839, 15642
62, 1714495463.139184, 1714495463.155528, 16344
63, 1714495463.166612, 1714495463.183426, 16814
64, 1714495463.195385, 1714495463.219536, 24151
65, 1714495463.231027, 1714495463.249781, 18754
66, 1714495463.261178, 1714495463.277457, 16279
67, 1714495463.288526, 1714495463.303350, 14824
68, 1714495463.315950, 1714495463.333139, 17189
69, 1714495463.344033, 1714495463.356238, 12205
70, 1714495463.369159, 1714495463.414149, 44990
71, 1714495463.424435, 1714495463.449301, 24866
72, 1714495463.460232, 1714495463.482548, 22316
73, 1714495463.494034, 1714495463.526590, 32556
74, 1714495463.538362, 1714495463.557164, 18802
75, 1714495463.567866, 1714495463.587945, 20079
76, 1714495463.600010, 1714495463.617864, 17854
77, 1714495463.628319, 1714495463.644833, 16514
78, 1714495463.655250, 1714495463.670973, 15723
79, 1714495463.683254, 1714495463.700492, 17238
80, 1714495463.711664, 1714495463.727729, 16065
81, 1714495463.738842, 1714495463.759282, 20440
82, 1714495463.769541, 1714495463.785441, 15900
83, 1714495463.796353, 1714495463.810300, 13947
84, 1714495463.820608, 1714495463.839346, 18738
85, 1714495463.849906, 1714495463.869606, 19700
86, 1714495463.880310, 1714495463.897284, 16974
87, 1714495463.908778, 1714495463.928532, 19754
88, 1714495463.940087, 1714495463.953945, 13858
89, 1714495463.965822, 1714495463.983500, 17678
90, 1714495463.993756, 1714495464.9522, 15766
91, 1714495464.20218, 1714495464.38348, 18130
92, 1714495464.49951, 1714495464.66554, 16603
93, 1714495464.77352, 1714495464.92414, 15062
94, 1714495464.104187, 1714495464.117623, 13436
95, 1714495464.128527, 1714495464.145504, 16977
96, 1714495464.156486, 1714495464.173435, 16949
97, 1714495464.185524, 1714495464.205012, 19488
98, 1714495464.215333, 1714495464.233073, 17740
99, 1714495464.243452, 1714495464.257341, 13889
100, 1714495464.269173, 1714495464.283483, 14310
101, 1714495464.294458, 1714495464.309329, 14871
102, 1714495464.321528, 1714495464.339578, 18050
103, 1714495464.350345, 1714495464.362962, 12617
104, 1714495464.374700, 1714495464.390755, 16055
105, 1714495464.402068, 1714495464.416517, 14449
106, 1714495464.427380, 1714495464.443505, 16125
107, 1714495464.456178, 1714495464.471515, 15337
108, 1714495464.482314, 1714495464.495537, 13223
109, 1714495464.508312, 1714495464.524622, 16310
110, 1714495464.535702, 1714495464.551326, 15624
111, 1714495464.563202, 1714495464.578360, 15158
112, 1714495464.589292, 1714495464.606629, 17337
113, 1714495464.617647, 1714495464.634884, 17237
114, 1714495464.646171, 1714495464.661236, 15065
115, 1714495464.673440, 1714495464.689995, 16555
116, 1714495464.701091, 1714495464.715138, 14047
117, 1714495464.727218, 1714495464.742733, 15515
118, 1714495464.755101, 1714495464.771259, 16158
119, 1714495464.782395, 1714495464.798924, 16529
120, 1714495464.811242, 1714495464.825820, 14578
121, 1714495464.836340, 1714495464.853791, 17451
122, 1714495464.865901, 1714495464.878591, 12690
123, 1714495464.889812, 1714495464.904752, 14940
124, 1714495464.915782, 1714495464.930695, 14913
125, 1714495464.941386, 1714495464.960727, 19341
126, 1714495464.972113, 1714495464.986950, 14837
127, 1714495464.998288, 1714495465.21806, 23518
128, 1714495465.32488, 1714495465.54972, 22484
129, 1714495465.65207, 1714495465.80237, 15030
130, 1714495465.92163, 1714495465.112313, 20150
131, 1714495465.122981, 1714495465.142220, 19239
132, 1714495465.154726, 1714495465.177411, 22685
133, 1714495465.188018, 1714495465.209979, 21961
134, 1714495465.233338, 1714495465.626368, 393030
135, 1714495465.636905, 1714495465.679512, 42607
136, 1714495465.689832, 1714495465.816468, 126636
137, 1714495465.827117, 1714495465.904547, 77430
138, 1714495465.914966, 1714495465.990090, 75124
139, 1714495466.513, 1714495466.59345, 58832
140, 1714495466.69697, 1714495466.115180, 45483
141, 1714495466.125737, 1714495466.165985, 40248
142, 1714495466.176812, 1714495466.216424, 39612
143, 1714495466.227691, 1714495466.261481, 33790
144, 1714495466.271657, 1714495466.305069, 33412
145, 1714495466.315805, 1714495466.351381, 35576
146, 1714495466.362148, 1714495466.399436, 37288
147, 1714495466.410160, 1714495466.459035, 48875
148, 1714495466.469330, 1714495466.520947, 51617
149, 1714495466.532463, 1714495466.581474, 49011
150, 1714495466.592777, 1714495466.651989, 59212
151, 1714495466.662592, 1714495466.708402, 45810
152, 1714495466.720083, 1714495466.772663, 52580
153, 1714495466.783346, 1714495466.831833, 48487
154, 1714495466.843284, 1714495466.877025, 33741
155, 1714495466.888562, 1714495466.932154, 43592
156, 1714495466.943626, 1714495466.981850, 38224
157, 1714495466.992187, 1714495467.30798, 38611
158, 1714495467.41129, 1714495467.73525, 32396
159, 1714495467.84059, 1714495467.113558, 29499
