index, start time, end time, latency (microsecond)
0, 1714494375.146794, 1714494375.220586, 73792
1, 1714494375.230801, 1714494375.289559, 58758
2, 1714494375.299770, 1714494375.365082, 65312
3, 1714494375.375294, 1714494375.424293, 48999
4, 1714494375.435171, 1714494375.477236, 42065
5, 1714494375.488003, 1714494375.526794, 38791
6, 1714494375.537479, 1714494375.576957, 39478
7, 1714494375.587915, 1714494375.623509, 35594
8, 1714494375.633889, 1714494375.679499, 45610
9, 1714494375.690452, 1714494375.735372, 44920
10, 1714494375.747976, 1714494375.788366, 40390
11, 1714494375.799583, 1714494375.840937, 41354
12, 1714494375.851947, 1714494375.895537, 43590
13, 1714494375.907778, 1714494375.949196, 41418
14, 1714494375.960164, 1714494376.840, 40676
15, 1714494376.12175, 1714494376.67745, 55570
16, 1714494376.78716, 1714494376.121112, 42396
17, 1714494376.132263, 1714494376.159223, 26960
18, 1714494376.171137, 1714494376.189797, 18660
19, 1714494376.200539, 1714494376.219071, 18532
20, 1714494376.230146, 1714494376.248275, 18129
21, 1714494376.259375, 1714494376.280058, 20683
22, 1714494376.291191, 1714494376.309193, 18002
23, 1714494376.319614, 1714494376.337424, 17810
24, 1714494376.348310, 1714494376.366283, 17973
25, 1714494376.377176, 1714494376.395763, 18587
26, 1714494376.407097, 1714494376.426488, 19391
27, 1714494376.437814, 1714494376.456503, 18689
28, 1714494376.468626, 1714494376.489316, 20690
29, 1714494376.499825, 1714494376.518751, 18926
30, 1714494376.529863, 1714494376.560810, 30947
31, 1714494376.572675, 1714494376.590800, 18125
32, 1714494376.601709, 1714494376.627245, 25536
33, 1714494376.639379, 1714494376.663952, 24573
34, 1714494376.675060, 1714494376.698025, 22965
35, 1714494376.710433, 1714494376.732626, 22193
36, 1714494376.742827, 1714494376.763521, 20694
37, 1714494376.774379, 1714494376.792812, 18433
38, 1714494376.803626, 1714494376.824780, 21154
39, 1714494376.835765, 1714494376.855437, 19672
40, 1714494376.866287, 1714494376.888157, 21870
41, 1714494376.898807, 1714494376.921564, 22757
42, 1714494376.931931, 1714494376.952343, 20412
43, 1714494376.964482, 1714494376.984244, 19762
44, 1714494376.996250, 1714494377.18305, 22055
45, 1714494377.29400, 1714494377.48733, 19333
46, 1714494377.59617, 1714494377.77251, 17634
47, 1714494377.88217, 1714494377.108183, 19966
48, 1714494377.118552, 1714494377.135170, 16618
49, 1714494377.146311, 1714494377.169440, 23129
50, 1714494377.180411, 1714494377.200376, 19965
51, 1714494377.211970, 1714494377.232796, 20826
52, 1714494377.243866, 1714494377.263823, 19957
53, 1714494377.274717, 1714494377.294542, 19825
54, 1714494377.306335, 1714494377.328621, 22286
55, 1714494377.339524, 1714494377.354295, 14771
56, 1714494377.365597, 1714494377.421062, 55465
57, 1714494377.432656, 1714494377.458654, 25998
58, 1714494377.469181, 1714494377.499340, 30159
59, 1714494377.511360, 1714494377.533472, 22112
60, 1714494377.544027, 1714494377.561323, 17296
61, 1714494377.572574, 1714494377.588486, 15912
62, 1714494377.600652, 1714494377.615639, 14987
63, 1714494377.627097, 1714494377.677581, 50484
64, 1714494377.688390, 1714494377.738862, 50472
65, 1714494377.749864, 1714494377.795629, 45765
66, 1714494377.807809, 1714494377.856568, 48759
67, 1714494377.867661, 1714494377.916152, 48491
68, 1714494377.927224, 1714494377.967014, 39790
69, 1714494377.977535, 1714494378.20603, 43068
70, 1714494378.31681, 1714494378.91714, 60033
71, 1714494378.102666, 1714494378.145331, 42665
72, 1714494378.155584, 1714494378.193983, 38399
73, 1714494378.205968, 1714494378.248941, 42973
74, 1714494378.259960, 1714494378.298929, 38969
75, 1714494378.310842, 1714494378.354692, 43850
76, 1714494378.365975, 1714494378.409400, 43425
77, 1714494378.420516, 1714494378.468958, 48442
78, 1714494378.480337, 1714494378.531246, 50909
79, 1714494378.541559, 1714494378.599824, 58265
80, 1714494378.611001, 1714494378.647798, 36797
81, 1714494378.659995, 1714494378.700806, 40811
82, 1714494378.712101, 1714494378.753287, 41186
83, 1714494378.764289, 1714494378.804516, 40227
84, 1714494378.817087, 1714494378.858795, 41708
85, 1714494378.869989, 1714494378.908529, 38540
86, 1714494378.919276, 1714494378.957597, 38321
87, 1714494378.968676, 1714494379.10672, 41996
88, 1714494379.21346, 1714494379.57704, 36358
89, 1714494379.69711, 1714494379.107785, 38074
90, 1714494379.118585, 1714494379.153166, 34581
91, 1714494379.164155, 1714494379.205064, 40909
92, 1714494379.217140, 1714494379.256493, 39353
93, 1714494379.267099, 1714494379.306549, 39450
94, 1714494379.318938, 1714494379.358658, 39720
95, 1714494379.370895, 1714494379.411820, 40925
96, 1714494379.423995, 1714494379.464719, 40724
97, 1714494379.476776, 1714494379.524184, 47408
98, 1714494379.534641, 1714494379.577143, 42502
99, 1714494379.588261, 1714494379.635170, 46909
100, 1714494379.646739, 1714494379.689617, 42878
101, 1714494379.702124, 1714494379.741822, 39698
102, 1714494379.753649, 1714494379.798333, 44684
103, 1714494379.810829, 1714494379.856524, 45695
104, 1714494379.867880, 1714494379.910326, 42446
105, 1714494379.921874, 1714494379.964160, 42286
106, 1714494379.975267, 1714494380.22138, 46871
107, 1714494380.33249, 1714494380.74024, 40775
108, 1714494380.85863, 1714494380.144921, 59058
109, 1714494380.155830, 1714494380.198734, 42904
110, 1714494380.209671, 1714494380.251221, 41550
111, 1714494380.263323, 1714494380.307997, 44674
112, 1714494380.320168, 1714494380.357777, 37609
113, 1714494380.368729, 1714494380.447117, 78388
114, 1714494380.458734, 1714494380.522604, 63870
115, 1714494380.533028, 1714494380.585616, 52588
116, 1714494380.596539, 1714494380.648132, 51593
117, 1714494380.660264, 1714494380.713133, 52869
118, 1714494380.723817, 1714494380.778311, 54494
119, 1714494380.790134, 1714494380.843713, 53579
120, 1714494380.855587, 1714494380.909349, 53762
121, 1714494380.920027, 1714494380.971965, 51938
122, 1714494380.982999, 1714494381.30987, 47988
123, 1714494381.41364, 1714494381.84479, 43115
124, 1714494381.96471, 1714494381.135718, 39247
125, 1714494381.146123, 1714494381.188841, 42718
126, 1714494381.199508, 1714494381.238100, 38592
127, 1714494381.250196, 1714494381.292409, 42213
128, 1714494381.303793, 1714494381.345260, 41467
129, 1714494381.355647, 1714494381.396373, 40726
130, 1714494381.408875, 1714494381.445257, 36382
131, 1714494381.456274, 1714494381.475033, 18759
132, 1714494381.486118, 1714494381.503534, 17416
133, 1714494381.515560, 1714494381.530871, 15311
134, 1714494381.541621, 1714494381.565355, 23734
135, 1714494381.577635, 1714494381.598847, 21212
136, 1714494381.609784, 1714494381.632907, 23123
137, 1714494381.643129, 1714494381.668765, 25636
138, 1714494381.679301, 1714494381.695441, 16140
139, 1714494381.706828, 1714494381.729197, 22369
140, 1714494381.740116, 1714494381.759088, 18972
141, 1714494381.769940, 1714494381.790193, 20253
142, 1714494381.801293, 1714494381.828746, 27453
143, 1714494381.839206, 1714494381.857622, 18416
144, 1714494381.869840, 1714494381.886758, 16918
145, 1714494381.897823, 1714494381.915696, 17873
146, 1714494381.926798, 1714494381.944832, 18034
147, 1714494381.955249, 1714494381.973040, 17791
148, 1714494381.984197, 1714494382.3582, 19385
149, 1714494382.14750, 1714494382.32622, 17872
150, 1714494382.43802, 1714494382.65328, 21526
151, 1714494382.77684, 1714494382.98050, 20366
152, 1714494382.109797, 1714494382.128709, 18912
153, 1714494382.139026, 1714494382.155377, 16351
154, 1714494382.168067, 1714494382.187087, 19020
155, 1714494382.198999, 1714494382.222955, 23956
156, 1714494382.234555, 1714494382.254237, 19682
157, 1714494382.264653, 1714494382.286668, 22015
158, 1714494382.298661, 1714494382.316675, 18014
159, 1714494382.327104, 1714494382.344932, 17828
160, 1714494382.356348, 1714494382.375581, 19233
161, 1714494382.386829, 1714494382.402192, 15363
162, 1714494382.413209, 1714494382.431402, 18193
163, 1714494382.442840, 1714494382.462871, 20031
164, 1714494382.473891, 1714494382.491816, 17925
165, 1714494382.504154, 1714494382.522542, 18388
166, 1714494382.532948, 1714494382.551542, 18594
167, 1714494382.563070, 1714494382.582606, 19536
168, 1714494382.595443, 1714494382.613075, 17632
169, 1714494382.623998, 1714494382.644318, 20320
170, 1714494382.655195, 1714494382.676207, 21012
171, 1714494382.686840, 1714494382.710725, 23885
172, 1714494382.722593, 1714494382.745690, 23097
173, 1714494382.756805, 1714494382.782717, 25912
174, 1714494382.793829, 1714494382.817140, 23311
175, 1714494382.827957, 1714494382.855613, 27656
176, 1714494382.866591, 1714494382.888594, 22003
177, 1714494382.898816, 1714494382.917362, 18546
178, 1714494382.927567, 1714494382.947907, 20340
179, 1714494382.958127, 1714494382.984278, 26151
180, 1714494382.994699, 1714494383.16445, 21746
181, 1714494383.26745, 1714494383.50223, 23478
182, 1714494383.60448, 1714494383.81892, 21444
183, 1714494383.92110, 1714494383.112673, 20563
184, 1714494383.122980, 1714494383.145705, 22725
185, 1714494383.155944, 1714494383.175683, 19739
186, 1714494383.185921, 1714494383.218589, 32668
187, 1714494383.228808, 1714494383.255504, 26696
188, 1714494383.265780, 1714494383.286058, 20278
189, 1714494383.296435, 1714494383.318123, 21688
190, 1714494383.328338, 1714494383.349944, 21606
191, 1714494383.360700, 1714494383.382708, 22008
192, 1714494383.392928, 1714494383.411429, 18501
193, 1714494383.421684, 1714494383.440926, 19242
194, 1714494383.451179, 1714494383.473577, 22398
195, 1714494383.484154, 1714494383.508128, 23974
196, 1714494383.518373, 1714494383.544606, 26233
197, 1714494383.554817, 1714494383.581069, 26252
198, 1714494383.591710, 1714494383.612087, 20377
